id,date,amount,product
777,2023-03-18,986.34,Product 10
778,2023-04-13,663.62,Product 1
779,2023-03-25,664.61,Product 10
780,2022-07-15,135.85,Product 4
781,2022-07-16,835.5,Product 4
782,2023-05-30,177.01,Product 10
783,2023-02-27,353.44,Product 6
784,2022-09-21,105.12,Product 4
785,2022-11-23,830.81,Product 5
786,2023-06-28,235.2,Product 4
787,2022-12-25,334.37,Product 3
788,2022-12-06,797.19,Product 9
789,2022-08-11,595.71,Product 1
790,2023-06-07,264.76,Product 6
791,2022-09-13,919.09,Product 9
792,2023-03-12,83.97,Product 4
793,2022-09-07,580.58,Product 4
794,2023-02-07,518.95,Product 8
795,2022-09-18,43.86,Product 8
796,2022-08-06,171.28,Product 5
797,2023-05-29,445.31,Product 7
798,2022-12-01,538.55,Product 7
799,2023-06-19,904.1,Product 6
800,2023-03-14,470.61,Product 5
801,2022-09-09,77.06,Product 2
802,2023-02-03,966.99,Product 1
803,2022-07-16,765.07,Product 4
804,2022-11-21,605.19,Product 9
805,2022-08-16,56.46,Product 4
806,2023-01-16,730.63,Product 6
807,2022-11-18,717.67,Product 4
808,2023-04-01,810.58,Product 1
809,2023-06-08,665.88,Product 5
810,2022-10-13,790.89,Product 4
811,2022-11-05,77.08,Product 6
812,2022-12-14,679.1,Product 5
813,2023-06-30,755.25,Product 6
814,2023-05-28,27.74,Product 8
815,2023-01-03,406.73,Product 7
816,2023-06-30,725.09,Product 4
817,2023-05-10,156.86,Product 7
818,2022-11-03,988.17,Product 10
819,2023-06-15,887.04,Product 7
820,2023-02-05,140.14,Product 7
821,2023-05-02,660.24,Product 4
822,2022-09-17,627.48,Product 3
823,2022-11-22,330.35,Product 9
824,2023-06-05,752.28,Product 6
825,2022-07-11,581.26,Product 6
826,2023-04-05,438.53,Product 1
827,2023-04-30,29.37,Product 8
828,2023-03-11,703.78,Product 2
829,2022-09-01,510.91,Product 5
830,2022-12-09,104.57,Product 1
831,2022-09-10,689.51,Product 8
832,2023-07-02,127.75,Product 8
833,2022-10-13,708.95,Product 3
834,2022-11-18,735.89,Product 1
835,2023-05-15,248.79,Product 8
836,2022-08-27,282.44,Product 10
837,2023-02-10,80.4,Product 10
838,2022-07-10,710.73,Product 10
839,2022-09-05,499.83,Product 7
840,2023-04-27,841.81,Product 6
841,2022-11-26,447.98,Product 7
842,2022-08-23,310.3,Product 9
843,2023-03-15,235.16,Product 4
844,2023-02-06,957.05,Product 9
845,2022-08-29,278.37,Product 10
846,2022-11-25,197.81,Product 2
847,2022-12-07,546.65,Product 5
848,2023-04-06,379.57,Product 8
849,2023-04-19,431.74,Product 5
850,2023-04-22,163.6,Product 1
851,2023-03-16,181.71,Product 5
852,2023-06-18,83.7,Product 1
853,2022-07-24,593.16,Product 10
854,2023-01-22,686.75,Product 9
855,2022-11-03,584.6,Product 3
856,2022-08-25,573.5,Product 7
857,2023-06-28,379.78,Product 6
858,2022-08-15,975.88,Product 10
859,2023-05-03,844.03,Product 3
860,2022-10-15,764.27,Product 5
861,2022-09-16,223.62,Product 9
862,2022-08-16,127.08,Product 9
863,2022-11-06,418.92,Product 3
864,2023-04-10,828.44,Product 8
865,2023-05-17,266.92,Product 8
866,2023-04-16,263.16,Product 4
867,2022-11-08,831.26,Product 4
868,2023-05-03,642.5,Product 7
869,2022-09-17,381.91,Product 1
870,2023-02-20,393.44,Product 8
871,2022-07-22,477.33,Product 4
872,2023-03-09,583.99,Product 4
873,2022-09-02,854.18,Product 3
874,2023-06-29,911.79,Product 7
875,2022-08-12,668.02,Product 6
876,2022-07-04,827.76,Product 1
877,2023-02-24,93.24,Product 3
878,2023-04-06,375.46,Product 1
879,2023-03-05,787.05,Product 10
880,2023-05-16,379.95,Product 10
881,2022-09-30,713.37,Product 10
882,2023-04-17,558.15,Product 7
883,2023-04-28,651.19,Product 8
884,2023-02-09,958.83,Product 6
885,2023-06-15,697.57,Product 5
886,2022-09-26,660.96,Product 6
887,2022-12-17,486.84,Product 10
888,2022-08-02,347.81,Product 6
889,2023-01-28,242.14,Product 4
890,2023-06-30,879.82,Product 4
891,2022-10-26,644.89,Product 10
892,2022-09-05,74.29,Product 5
893,2023-01-24,629.84,Product 3
894,2023-05-24,907.21,Product 6
895,2023-05-17,872.3,Product 6
896,2022-10-13,958.94,Product 6
897,2023-01-03,949.23,Product 2
898,2022-09-08,863.15,Product 9
899,2023-02-01,891.4,Product 6
900,2023-05-11,150.06,Product 1
901,2023-01-29,822.21,Product 1
902,2023-07-02,46.11,Product 9
903,2022-07-27,56.58,Product 8
904,2023-02-08,734.75,Product 1
905,2022-11-04,814.8,Product 5
906,2023-04-15,859.62,Product 9
907,2022-11-04,264.18,Product 7
908,2022-08-12,242.87,Product 10
909,2022-11-18,761.74,Product 4
910,2023-05-19,564.67,Product 8
911,2022-10-22,452.16,Product 10
912,2023-06-16,788.32,Product 10
913,2022-07-12,784.5,Product 7
914,2022-10-20,217.69,Product 2
915,2022-09-07,472.1,Product 7
916,2023-01-18,110.88,Product 1
917,2022-11-01,984.58,Product 6
918,2022-10-22,601.96,Product 7
919,2022-12-13,507.55,Product 9
920,2022-07-08,894.4,Product 2
921,2023-06-27,837.74,Product 8
922,2022-11-24,49.47,Product 1
923,2023-05-05,444.5,Product 1
924,2023-01-29,771.73,Product 8
925,2023-02-20,502.21,Product 4
926,2023-02-23,702.87,Product 9
927,2023-06-22,802.64,Product 10
928,2022-12-02,43.66,Product 9
929,2023-01-22,902.97,Product 5
930,2022-08-18,651.64,Product 7
931,2022-08-19,219.74,Product 1
932,2023-04-05,839.61,Product 7
933,2022-09-02,68.79,Product 2
934,2022-08-06,911.57,Product 4
935,2022-09-10,309.07,Product 10
936,2023-06-08,728.35,Product 7
937,2022-12-23,804.78,Product 7
938,2022-09-30,315.96,Product 3
939,2022-09-19,442.68,Product 9
940,2022-09-30,535.73,Product 10
941,2022-12-10,51.45,Product 4
942,2022-09-27,992.12,Product 9
943,2022-10-05,424.7,Product 3
944,2023-01-16,32.45,Product 2
945,2022-12-08,327.94,Product 4
946,2023-04-08,811.54,Product 3
947,2023-02-08,252.42,Product 3
948,2023-04-18,543.62,Product 10
949,2023-03-28,392.52,Product 4
950,2023-06-26,218.04,Product 9
951,2022-08-30,621.55,Product 1
952,2023-02-02,820.12,Product 1
953,2022-08-09,176.52,Product 7
954,2022-12-11,885.87,Product 3
955,2023-04-27,471.85,Product 6
956,2022-09-23,155.23,Product 8
957,2023-04-06,962.6,Product 2
958,2022-10-22,708.77,Product 1
959,2022-11-01,61.37,Product 5
960,2023-06-12,80.13,Product 6
961,2023-04-29,394.66,Product 5
962,2022-08-10,616.22,Product 1
963,2023-02-22,469.91,Product 1
964,2023-06-07,773.41,Product 4
965,2023-06-16,157.04,Product 2
966,2023-05-27,253.13,Product 1
967,2023-06-06,275.65,Product 8
968,2022-09-16,426.45,Product 5
969,2022-12-09,843.0,Product 1
970,2023-03-07,901.45,Product 8
971,2023-04-11,648.94,Product 1
972,2022-08-12,365.56,Product 10
973,2023-03-29,306.67,Product 10
974,2022-10-21,385.65,Product 1
975,2023-05-25,917.47,Product 3
976,2023-01-25,800.5,Product 2
977,2023-02-26,451.92,Product 9
978,2023-01-01,58.43,Product 4
979,2022-07-14,603.29,Product 3
980,2022-08-19,675.04,Product 6
981,2023-05-31,827.57,Product 8
982,2023-06-08,866.71,Product 10
983,2023-01-08,233.42,Product 8
984,2023-02-17,882.17,Product 3
985,2022-07-19,619.77,Product 9
986,2023-02-14,193.75,Product 9
987,2022-07-17,418.87,Product 5
988,2023-04-17,312.19,Product 1
989,2022-09-07,640.91,Product 7
990,2023-02-17,798.58,Product 4
991,2023-05-29,740.09,Product 7
992,2023-02-19,233.38,Product 6
993,2023-05-20,72.48,Product 6
994,2023-01-18,257.28,Product 7
995,2023-03-28,569.98,Product 3
996,2022-07-10,653.66,Product 3
997,2023-01-13,691.89,Product 3
998,2023-01-31,207.24,Product 1
999,2023-01-16,653.59,Product 2
1000,2023-06-20,448.11,Product 3
